Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
155,01-08-2021,DNH and DD,4-Wheelers,0,321
156,01-08-2021,Himachal Pradesh,4-Wheelers,0,3641
157,01-08-2021,Jammu and Kashmir,4-Wheelers,0,5430
158,01-08-2021,Ladakh,2-Wheelers,0,30
159,01-08-2021,Ladakh,4-Wheelers,0,459
160,01-08-2021,Manipur,2-Wheelers,0,1016
161,01-08-2021,Manipur,4-Wheelers,0,561
162,01-08-2021,Meghalaya,2-Wheelers,0,1041
163,01-08-2021,Meghalaya,4-Wheelers,0,826
164,01-08-2021,Mizoram,2-Wheelers,0,1057
165,01-08-2021,Mizoram,4-Wheelers,0,240
166,01-08-2021,Nagaland,2-Wheelers,0,577
167,01-08-2021,Nagaland,4-Wheelers,0,763
168,01-08-2021,Tripura,2-Wheelers,0,2462
169,01-08-2021,Tripura,4-Wheelers,0,462
170,01-09-2021,Andaman & Nicobar Island,2-Wheelers,0,329
171,01-09-2021,Andaman & Nicobar Island,4-Wheelers,0,87
172,01-09-2021,Arunachal Pradesh,2-Wheelers,0,1260
173,01-09-2021,Arunachal Pradesh,4-Wheelers,0,637
174,01-09-2021,Assam,4-Wheelers,0,6036
175,01-09-2021,DNH and DD,4-Wheelers,0,348
176,01-09-2021,Ladakh,2-Wheelers,0,26
177,01-09-2021,Ladakh,4-Wheelers,0,444
178,01-09-2021,Manipur,2-Wheelers,0,3492
179,01-09-2021,Manipur,4-Wheelers,0,1202
180,01-09-2021,Meghalaya,2-Wheelers,0,1396
181,01-09-2021,Meghalaya,4-Wheelers,0,905
182,01-09-2021,Mizoram,2-Wheelers,0,1465
183,01-09-2021,Mizoram,4-Wheelers,0,264
184,01-09-2021,Nagaland,4-Wheelers,0,681
185,01-09-2021,Tripura,2-Wheelers,0,2736
186,01-09-2021,Tripura,4-Wheelers,0,403
187,01-10-2021,Andaman & Nicobar Island,2-Wheelers,0,360
188,01-10-2021,Arunachal Pradesh,2-Wheelers,0,1109
189,01-10-2021,Arunachal Pradesh,4-Wheelers,0,570
190,01-10-2021,Assam,4-Wheelers,0,5877
191,01-10-2021,Ladakh,4-Wheelers,0,289
192,01-10-2021,Manipur,4-Wheelers,0,916
193,01-10-2021,Meghalaya,2-Wheelers,0,1414
194,01-10-2021,Meghalaya,4-Wheelers,0,722
195,01-10-2021,Mizoram,2-Wheelers,0,1886
196,01-10-2021,Mizoram,4-Wheelers,0,283
197,01-10-2021,Nagaland,2-Wheelers,0,650
198,01-10-2021,Nagaland,4-Wheelers,0,567
199,01-10-2021,Puducherry,4-Wheelers,0,609
200,01-10-2021,Tripura,2-Wheelers,0,3015
201,01-10-2021,Tripura,4-Wheelers,0,366
202,01-11-2021,Andaman & Nicobar Island,2-Wheelers,0,413
203,01-11-2021,Andaman & Nicobar Island,4-Wheelers,0,125
204,01-11-2021,Arunachal Pradesh,2-Wheelers,0,1262
205,01-11-2021,Arunachal Pradesh,4-Wheelers,0,646
206,01-11-2021,Assam,4-Wheelers,0,5618
207,01-11-2021,DNH and DD,4-Wheelers,0,330
208,01-11-2021,Himachal Pradesh,4-Wheelers,0,4496
209,01-11-2021,Jammu and Kashmir,4-Wheelers,0,4709
210,01-11-2021,Ladakh,2-Wheelers,0,28
211,01-11-2021,Ladakh,4-Wheelers,0,287
212,01-11-2021,Manipur,4-Wheelers,0,875
213,01-11-2021,Meghalaya,2-Wheelers,0,1442
214,01-11-2021,Meghalaya,4-Wheelers,0,806
