Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
214,01-09-2023,4-Wheelers,Hyundai Motor,161
409,01-05-2021,2-Wheelers,ATHER,160
104,01-04-2023,4-Wheelers,BYD India,156
355,01-03-2023,4-Wheelers,PCA Automobiles,151
237,01-10-2023,4-Wheelers,Hyundai Motor,148
408,01-05-2021,2-Wheelers,AMPERE,147
363,01-03-2024,4-Wheelers,BYD India,142
192,01-08-2023,4-Wheelers,Hyundai Motor,141
213,01-09-2023,4-Wheelers,BYD India,141
147,01-06-2023,4-Wheelers,BYD India,140
376,01-04-2021,2-Wheelers,REVOLT,138
111,01-05-2021,4-Wheelers,Tata Motors,137
288,01-12-2023,4-Wheelers,BMW India,137
285,01-12-2023,4-Wheelers,BYD India,135
335,01-02-2024,4-Wheelers,BYD India,135
563,01-09-2021,2-Wheelers,JITENDRA,134
513,01-07-2023,2-Wheelers,BATTRE ELECTRIC,133
238,01-10-2023,4-Wheelers,PCA Automobiles,132
365,01-03-2024,4-Wheelers,PCA Automobiles,130
126,01-05-2023,4-Wheelers,Hyundai Motor,129
133,01-06-2021,4-Wheelers,MG Motor,128
311,01-01-2024,4-Wheelers,Hyundai Motor,128
261,01-11-2023,4-Wheelers,Hyundai Motor,125
310,01-01-2024,4-Wheelers,BYD India,123
410,01-05-2021,2-Wheelers,PURE EV,122
148,01-06-2023,4-Wheelers,Hyundai Motor,121
90,01-04-2021,4-Wheelers,MG Motor,118
244,01-11-2021,4-Wheelers,MG Motor,118
313,01-01-2024,4-Wheelers,BMW India,116
364,01-03-2024,4-Wheelers,Hyundai Motor,116
125,01-05-2023,4-Wheelers,BYD India,110
236,01-10-2023,4-Wheelers,BYD India,109
215,01-09-2023,4-Wheelers,PCA Automobiles,108
134,01-06-2021,4-Wheelers,Mahindra & Mahindra,106
260,01-11-2023,4-Wheelers,BYD India,106
301,01-01-2023,4-Wheelers,BYD India,101
268,01-12-2021,4-Wheelers,MG Motor,99
262,01-11-2023,4-Wheelers,PCA Automobiles,98
286,01-12-2023,4-Wheelers,Hyundai Motor,97
338,01-02-2024,4-Wheelers,BMW India,97
336,01-02-2024,4-Wheelers,Hyundai Motor,94
303,01-01-2023,4-Wheelers,BMW India,91
169,01-07-2023,4-Wheelers,BYD India,89
193,01-08-2023,4-Wheelers,PCA Automobiles,89
170,01-07-2023,4-Wheelers,Hyundai Motor,88
302,01-01-2023,4-Wheelers,Hyundai Motor,84
476,01-06-2023,2-Wheelers,BATTRE ELECTRIC,82
172,01-07-2023,4-Wheelers,BMW India,81
191,01-08-2023,4-Wheelers,BYD India,80
761,01-02-2023,2-Wheelers,REVOLT,79
113,01-05-2021,4-Wheelers,Mahindra & Mahindra,78
150,01-06-2023,4-Wheelers,BMW India,76
343,01-03-2022,4-Wheelers,MG Motor,75
239,01-10-2023,4-Wheelers,BMW India,71
277,01-12-2022,4-Wheelers,Hyundai Motor,68
281,01-12-2022,4-Wheelers,KIA Motors,65
194,01-08-2023,4-Wheelers,BMW India,64
229,01-10-2022,4-Wheelers,Hyundai Motor,64
337,01-02-2024,4-Wheelers,PCA Automobiles,64
256,01-11-2022,4-Wheelers,KIA Motors,61
252,01-11-2022,4-Wheelers,Hyundai Motor,59
449,01-06-2021,2-Wheelers,REVOLT,59
216,01-09-2023,4-Wheelers,BMW India,58
128,01-05-2023,4-Wheelers,BMW India,57
207,01-09-2022,4-Wheelers,Hyundai Motor,57
265,01-11-2023,4-Wheelers,Volvo Auto India,57
366,01-03-2024,4-Wheelers,BMW India,55
414,01-05-2021,2-Wheelers,BEING,54
185,01-08-2022,4-Wheelers,Hyundai Motor,53
107,01-04-2023,4-Wheelers,BMW India,51
289,01-12-2023,4-Wheelers,Mercedes -Benz AG,51
206,01-09-2022,4-Wheelers,BYD India,48
293,01-01-2022,4-Wheelers,MG Motor,48
377,01-04-2021,2-Wheelers,BAJAJ,48
290,01-12-2023,4-Wheelers,Volvo Auto India,47
163,01-07-2022,4-Wheelers,Hyundai Motor,45
328,01-02-2023,4-Wheelers,BMW India,43
452,01-06-2021,2-Wheelers,JITENDRA,43
105,01-04-2023,4-Wheelers,Hyundai Motor,42
218,01-09-2023,4-Wheelers,Volvo Auto India,42
315,01-01-2024,4-Wheelers,Volvo Auto India,42
412,01-05-2021,2-Wheelers,REVOLT,42
217,01-09-2023,4-Wheelers,Mercedes -Benz AG,41
241,01-10-2023,4-Wheelers,Volvo Auto India,41
287,01-12-2023,4-Wheelers,PCA Automobiles,40
356,01-03-2023,4-Wheelers,BMW India,40
112,01-05-2021,4-Wheelers,MG Motor,39
141,01-06-2022,4-Wheelers,Hyundai Motor,39
242,01-10-2023,4-Wheelers,KIA Motors,39
251,01-11-2022,4-Wheelers,BYD India,39
368,01-03-2024,4-Wheelers,Volvo Auto India,39
276,01-12-2022,4-Wheelers,BYD India,37
358,01-03-2023,4-Wheelers,Volvo Auto India,37
685,01-12-2022,2-Wheelers,REVOLT,37
131,01-05-2023,4-Wheelers,KIA Motors,36
140,01-06-2022,4-Wheelers,BYD India,36
196,01-08-2023,4-Wheelers,Volvo Auto India,36
327,01-02-2023,4-Wheelers,Hyundai Motor,36
379,01-04-2021,2-Wheelers,JITENDRA,36
264,01-11-2023,4-Wheelers,Mercedes -Benz AG,35
306,01-01-2023,4-Wheelers,KIA Motors,35
340,01-02-2024,4-Wheelers,Volvo Auto India,35
354,01-03-2023,4-Wheelers,Hyundai Motor,35
130,01-05-2023,4-Wheelers,Volvo Auto India,34
152,01-06-2023,4-Wheelers,Volvo Auto India,33
184,01-08-2022,4-Wheelers,BYD India,33
162,01-07-2022,4-Wheelers,BYD India,32
367,01-03-2024,4-Wheelers,Mercedes -Benz AG,31
110,01-04-2023,4-Wheelers,KIA Motors,30
118,01-05-2022,4-Wheelers,BYD India,30
153,01-06-2023,4-Wheelers,KIA Motors,30
318,01-02-2022,4-Wheelers,MG Motor,30
232,01-10-2022,4-Wheelers,KIA Motors,29
266,01-11-2023,4-Wheelers,KIA Motors,29
314,01-01-2024,4-Wheelers,Mercedes -Benz AG,29
316,01-01-2024,4-Wheelers,KIA Motors,29
109,01-04-2023,4-Wheelers,Volvo Auto India,27
228,01-10-2022,4-Wheelers,BYD India,27
278,01-12-2022,4-Wheelers,BMW India,27
174,01-07-2023,4-Wheelers,Volvo Auto India,26
